Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,15,28.1,5.29,5,9,.357,5.43,14,14,14,0,0,0,2,121.0,107,74,73,29,58,4,133,7,0,3,527,82,5.53,1.364,8.0,2.2,4.3,9.9,2.29,90
ATL,18,28.0,3.79,9,5,.643,3.70,14,14,14,0,1,0,3,124.0,105,53,51,11,46,0,124,7,0,4,516,125,3.43,1.218,7.6,0.8,3.3,9.0,2.70,91
BAL,17,29.8,4.54,6,7,.462,4.42,13,13,13,0,1,0,3,112.0,97,59,55,15,33,0,109,10,1,7,474,101,3.94,1.161,7.8,1.2,2.7,8.8,3.30,79
BOS,17,29.4,5.00,5,8,.385,5.10,13,13,13,0,1,0,3,113.0,114,65,64,18,53,0,103,10,0,2,499,89,4.92,1.478,9.1,1.4,4.2,8.2,1.94,95
CHC,18,30.3,4.46,10,3,.769,4.38,13,13,12,1,2,1,4,117.0,96,58,57,16,42,1,108,6,2,6,487,101,4.16,1.179,7.4,1.2,3.2,8.3,2.57,78
CHW,19,28.4,4.29,8,6,.571,4.28,14,14,14,0,2,0,5,124.0,119,60,59,16,48,1,123,8,0,3,534,101,4.05,1.347,8.6,1.2,3.5,8.9,2.56,102
CIN,18,28.8,4.79,6,8,.429,4.08,14,14,13,1,1,1,1,119.0,90,67,54,17,48,1,165,12,1,6,502,108,3.59,1.160,6.8,1.3,3.6,12.5,3.44,78
CLE,14,28.0,2.13,8,7,.533,2.06,15,15,15,0,4,0,6,131.0,85,32,30,16,29,0,157,8,0,6,502,216,3.04,0.870,5.8,1.1,2.0,10.8,5.41,77
COL,14,27.8,3.38,10,3,.769,3.10,13,13,13,0,0,0,6,116.0,95,44,40,11,31,1,102,5,0,5,471,164,3.40,1.086,7.4,0.9,2.4,7.9,3.29,79
DET,18,27.0,5.64,6,5,.545,5.63,11,11,11,0,0,0,4,96.0,98,62,60,17,32,0,82,8,0,3,418,81,4.84,1.354,9.2,1.6,3.0,7.7,2.56,68
HOU,20,26.9,5.00,6,7,.462,4.09,13,13,13,0,0,0,2,125.1,115,65,57,13,69,5,113,7,0,5,554,108,4.36,1.468,8.3,0.9,5.0,8.1,1.64,113
KCR,21,27.2,4.73,5,10,.333,3.95,15,15,15,0,0,0,3,130.0,123,71,57,20,51,2,126,11,1,8,563,114,4.49,1.338,8.5,1.4,3.5,8.7,2.47,102
LAA,20,27.8,5.07,5,9,.357,4.38,14,14,13,1,0,0,2,125.1,116,71,61,14,62,2,122,6,1,8,546,99,4.13,1.420,8.3,1.0,4.5,8.8,1.97,99
LAD,19,27.7,2.79,10,4,.714,2.39,14,14,14,0,1,0,5,128.0,92,39,34,11,42,2,123,6,0,4,508,176,3.32,1.047,6.5,0.8,3.0,8.6,2.93,85
